Seed_Name,Variety,Crop_Type,Region_Released_For,State,Breeder_Origin_Institution,Year_of_Release,Crop_Value_Chain,Is_Stresstolerant,Stressors_Broadly_Defined,Crop_Season,In_Depth_Stress_Tolerance_Notes,Unique_Genetic_Marker_STS
28P67,28P67,Maize,"Punjab,Haryana",Punjab,Corteva Agriscience Seeds Private Limited Hyderabad,2023,Food (Grain),Yes,High yield potential under irrigated conditions,Kharif,This variety is noted for its high yield potential which implies a degree of resilience to common biotic and abiotic stressors found in the irrigated ecosystems of Punjab and Haryana. Specific stress tolerance data is limited in public documents.,Information not publicly available
Malviya Sugandhi Dhan-156,Malviya Sugandhi Dhan-156,Rice,"Uttar Pradesh,West Bengal",Uttar Pradesh,Banaras Hindu University Varanasi,2023,Food (Aromatic Grain),Yes,Resistant to blast and bacterial leaf blight,Kharif,This variety shows strong resistance to neck blast and moderate resistance to leaf blast and bacterial leaf blight which are significant diseases in its recommended growing regions.,Information not publicly available
HT 5110,HT 5110,Maize,"Bihar,Jharkhand,Odisha,West Bengal,Uttar Pradesh",Bihar,Hytech Seed India Pvt. Ltd. Hyderabad,2023,Feed (Poultry) Starch Production,Yes,Tolerant to charcoal rot and fusarium stalk rot,Kharif,This maize hybrid exhibits tolerance to major stalk rot diseases which are critical for maintaining plant health and yield especially in the humid conditions of Eastern India.,Information not publicly available
DHLM-28-4,DHLM-28-4,Millet,"Madhya Pradesh,Maharashtra,Tamil Nadu,Gujarat,Jharkhand,Andhra Pradesh",Madhya Pradesh,University of Agricultural Sciences Dharwad,2023,Food (Nutritious Grain),Yes,Drought tolerant suitable for rainfed areas,Kharif,As a millet this variety is inherently drought-tolerant and adapted to marginal lands with low water availability making it a climate-resilient crop.,Information not publicly available
ADV 955,ADV 955,Pearl Millet,"Punjab,Haryana,Rajasthan,Gujarat,Chhattisgarh,Madhya Pradesh,Maharashtra,Uttar Pradesh,Tamil Nadu,Telangana,Andhra Pradesh,Karnataka",Punjab,UPL Limited Hyderabad,2023,Food (Grain) Fodder,Yes,Tolerant to downy mildew and drought conditions,Kharif,This pearl millet hybrid combines drought tolerance with resistance to downy mildew a major disease affecting this crop ensuring stable yields across diverse agro-climatic zones.,Information not publicly available
CS 64,CS 64,Mustard,"Haryana,Punjab,Rajasthan,Delhi,Uttar Pradesh,Jammu and Kashmir,Himachal Pradesh",Haryana,ICAR- Central Soil Salinity Research Institute Karnal,2023,Oilseed (Edible Oil),Yes,Tolerant to salinity and sodicity stress,Rabi,Developed by the Central Soil Salinity Research Institute this variety is specifically bred for cultivation in salt-affected soils a significant abiotic stress in parts of North India.,Information not publicly available
Him Palam Sarson 2,Him Palam Sarson 2,Mustard,"Himachal Pradesh,Punjab,Jammu and Kashmir",Himachal Pradesh,Chudhary Sarwan Kumar Himachal Pradesh Krishi Vishvavidyalaya Palampur,2023,Oilseed (Edible Oil),Yes,Resistant to white rust and Alternaria blight,Rabi,This Gobhi Sarson variety is tailored for the hilly regions showing resistance to white rust and Alternaria blight which are common fungal diseases in these areas.,Information not publicly available
Sabour Tisi-4,Sabour Tisi-4,Linseed,"Uttar Pradesh,Bihar,Jharkhand,West Bengal,Assam,Nagaland",Uttar Pradesh,Bihar Agricultural University Sabour,2023,Fiber (Linen) Oilseed (Industrial/Edible),Yes,Resistant to rust and wilt diseases,Rabi,This linseed variety has genetic resistance to rust (Melampsora lini) and wilt (Fusarium oxysporum f. sp. lini) two of the most devastating diseases for this crop.,Information not publicly available
Kota Kabuli Chana 4,Kota Kabuli Chana 4,Chickpea,"Andhra Pradesh,Telangana,Karnataka",Andhra Pradesh,Agricultural Research Station Kota,2023,Food (Pulses),Yes,Resistant to fusarium wilt,Rabi,This chickpea variety is resistant to Fusarium wilt a soil-borne fungal disease that is a major constraint to chickpea production in Southern India.,Information not publicly available
ADVIKA,ADVIKA,Chickpea,"Gujarat,Maharashtra,Madhya Pradesh",Gujarat,National Institute of Plant Genome Research New Delhi,2023,Food (Pulses) Biofortified (Iron Zinc),Yes,Drought tolerant; Resistant to Fusarium wilt,Rabi,ADVIKA is a product of marker-assisted breeding specifically introgressing genes for drought tolerance making it suitable for the rainfed and water-limited environments of Central India.,Information not publicly available
GNG 2461,GNG 2461,Chickpea,"Punjab,Haryana,Delhi,Rajasthan,Uttar Pradesh,Uttarakhand,Jammu and Kashmir",Punjab,Zonal Agricultural Research Station Sriganganagar,2023,Food (Pulses),Yes,Resistant to wilt and root rot,Rabi,This chickpea variety has been developed for resistance to major soil-borne diseases like wilt and root rot which are prevalent in the North-Western plains.,Information not publicly available
LL 1613,LL 1613,Lentil,"Punjab,Haryana,Rajasthan,Uttarakhand,Delhi,Uttar Pradesh,Jammu and Kashmir",Punjab,Punjab Agricultural University Ludhiana,2023,Food (Pulses),Yes,Resistant to rust and wilt diseases,Rabi,This lentil variety is bred for resistance to rust and wilt ensuring stable yields in the major lentil-growing regions of Northern India.,Information not publicly available
Shikhar,Shikhar,Field Pea,"Bihar,Jharkhand,Assam,West Bengal,Uttar Pradesh",Bihar,ICAR- Indian Institute of Pulses Research Kanpur,2023,Food (Pulses) Vegetable,Yes,Resistant to powdery mildew and rust,Rabi,This fieldpea variety shows strong resistance to powdery mildew and rust two significant fungal diseases that can cause major yield losses in Eastern India.,Information not publicly available
Pant Pea 462,Pant Pea 462,Field Pea,"Jharkhand,Bihar,West Bengal,Assam,Uttar Pradesh",Jharkhand,G.B. Pant University of Agriculture and Technology Pantnagar,2023,Food (Pulses),Yes,Resistant to powdery mildew,Rabi,This variety is specifically resistant to powdery mildew a common disease in the humid conditions often found in the eastern parts of the country during the Rabi season.,Information not publicly available
Arpan,Arpan,Field Pea,"Uttar Pradesh,Bihar,Jharkhand,Assam,West Bengal",Uttar Pradesh,ICAR-Indian Institute of Pulses Research Kanpur,2023,Food (Pulses),Yes,High yielding resistant to powdery mildew,Rabi,Arpan combines high yield potential with robust resistance to powdery mildew making it a reliable choice for farmers in the Eastern Gangetic Plains.,Information not publicly available
HFP 1426,HFP 1426,Field Pea,"Uttar Pradesh,Bihar,Jharkhand,West Bengal,Assam",Uttar Pradesh,CCS Haryana Agricultural University Hisar,2023,Food (Pulses),Yes,Resistant to rust,Rabi,This fieldpea variety is specifically bred for resistance to rust a major constraint for this crop in the eastern region.,Information not publicly available
Budel Dinanath-3,Budel Dinanath-3,Grass,"West Bengal,Jharkhand,Odisha,Assam,Bihar,Madhya Pradesh,Uttar Pradesh",West Bengal,ICAR- Indian Grassland and Fodder Research Institute Jhansi,2023,Fodder,Yes,High biomass suitable for multicut systems,Kharif,While not a stress tolerance in the traditional sense its ability to regrow quickly after cutting (multicut) is a key resilience trait for fodder security.,Information not publicly available
Phule Satpuda,Phule Satpuda,Cotton,"Maharashtra,Madhya Pradesh,Odisha,Rajasthan,Gujarat",Maharashtra,Mahatma Phule Krishi Vidyapeeth Jalgaon,2023,Fiber (Textile) Oil (Cottonseed),Yes,Tolerant to sucking pests and bollworm complex,Kharif,This cotton variety has been developed to tolerate major insect pests including jassids aphids and the American bollworm reducing the need for chemical interventions.,Information not publicly available
Gujarat Cotton-46,Gujarat Cotton-46,Cotton,"Maharashtra,Madhya Pradesh,Gujarat,Odisha",Maharashtra,Junagadh Agricultural University Junagadh,2023,Fiber (Textile),Yes,Tolerant to leaf curl virus and sucking pests,Kharif,This variety exhibits tolerance to Cotton Leaf Curl Virus (CLCuV) and common sucking pests which are significant threats to cotton cultivation in Central India.,Information not publicly available
Co 11015,Co 11015,Sugarcane,"Andhra Pradesh,Telangana,Kerala,Tamil Nadu,Karnataka,Gujarat,Maharashtra,Madhya Pradesh",Andhra Pradesh,ICAR- Sugarcane Breeding Institute Coimbatore,2023,Sugar Ethanol Fodder,Yes,Tolerant to drought; Resistant to red rot disease,Annual,This sugarcane variety is a 'wonder cane' known for its drought tolerance and strong resistance to red rot the most destructive disease of sugarcane.,Information not publicly available
Co 14005,Co 14005,Sugarcane,"Tamil Nadu,Kerala,Andhra Pradesh,Telangana,Karnataka,Gujarat,Maharashtra,Madhya Pradesh",Tamil Nadu,ICAR- Sugarcane Breeding Institute Coimbatore,2023,Sugar Jaggery,Yes,Early maturing resistant to red rot,Annual,This early-maturing variety combines high sugar content with resistance to red rot allowing for a more flexible harvesting schedule and reduced disease risk.,Information not publicly available
Phule Sugarcane 13007,Phule Sugarcane 13007,Sugarcane,"Maharashtra,Gujarat,Karnataka,Tamil Nadu,Andhra Pradesh,Madhya Pradesh,Chhattisgarh",Maharashtra,Mahatma Phule Krishi Vidyapeeth Padegaon,2023,Sugar,Yes,High sugar content tolerant to water stress,Annual,This variety is adapted to the water-limited conditions of Maharashtra and maintains high sucrose content even under moderate drought stress.,Information not publicly available
CO 16030,CO 16030,Sugarcane,"Haryana,Punjab,Rajasthan,Uttarakhand,Uttar Pradesh",Haryana,ICAR-Sugarcane Breeding Institute Karnal,2023,Sugar,Yes,Tolerant to red rot and smut diseases,Annual,Developed for the subtropical zone this variety is resistant to the two most important fungal diseases in the region: red rot and smut.,Information not publicly available
Ikshu-10,Ikshu-10,Sugarcane,"Punjab,Haryana,Rajasthan,Uttar Pradesh,Uttarakhand",Punjab,ICAR- Indian Institute of Sugarcane Research Lucknow,2023,Sugar,Yes,Early maturing suitable for subtropical regions,Annual,Its early maturity allows it to escape some of the late-season abiotic stresses and it is bred for performance in the subtropical climate of North India.,Information not publicly available
Ikshu-14,Ikshu-14,Sugarcane,"Punjab,Haryana,Rajasthan,Uttar Pradesh,Uttarakhand",Punjab,ICAR- Indian Institute of Sugarcane Research Lucknow,2023,Sugar,Yes,High cane yield resistant to red rot,Annual,This variety combines high biomass with strong genetic resistance to red rot ensuring both high yield and crop security.,Information not publicly available
Ikshu-15,Ikshu-15,Sugarcane,"Uttar Pradesh,Bihar,West Bengal,Assam",Uttar Pradesh,ICAR- Indian Institute of Sugarcane Research Lucknow,2023,Sugar Jaggery,Yes,Tolerant to waterlogging and red rot,Annual,This variety is specifically adapted to the conditions of Eastern India where waterlogging during monsoon is a major issue. It also has resistance to red rot.,Information not publicly available
Rajendra Ganna-5,Rajendra Ganna-5,Sugarcane,"Uttar Pradesh,Bihar,West Bengal,Assam",Uttar Pradesh,Dr. Rajendra Prasad Central Agricultural University Pusa,2023,Sugar,Yes,Good ratooning ability resistant to red rot,Annual,Good ratooning ability is a key resilience trait as it allows for multiple harvests from a single planting. This variety also has resistance to red rot.,Information not publicly available
CR Dhan 323,CR Dhan 323,Rice,Odisha,Odisha,ICAR-National Rice Research Institute Cuttack,2023,Food (Grain),Yes,Tolerant to stem borer and leaf folder pests,Kharif,This rice variety has been bred for tolerance to major insect pests like the yellow stem borer and leaf folder reducing yield losses and the need for insecticides.,Information not publicly available
CR Dhan 324,CR Dhan 324,Rice,Odisha,Odisha,ICAR-National Rice Research Institute Cuttack,2023,Food (Biofortified Grain - High Protein),Yes,Resistant to blast and bacterial blight,Kharif,This biofortified variety not only provides higher protein but also has genetic resistance to blast and bacterial blight key diseases in the humid climate of Odisha.,Information not publicly available
CR Dhan 326,CR Dhan 326,Rice,Odisha,Odisha,ICAR-National Rice Research Institute Cuttack,2023,Food (Biofortified Grain - Zinc Iron),Yes,Tolerant to drought and submergence,Kharif,This climate-smart rice variety is a major achievement offering tolerance to both drought (lack of water) and submergence (excess water) making it highly resilient to erratic weather.,Information not publicly available
CR Dhan 327,CR Dhan 327,Rice,Odisha,Odisha,ICAR-National Rice Research Institute Cuttack,2023,Food (Grain - Low Glycemic Index),Yes,Resistant to blast disease,Kharif,While its primary value is its low glycemic index for health-conscious consumers its resistance to blast disease ensures that this quality trait is protected.,Information not publicly available
CR Dhan 328,CR Dhan 328,Rice,Odisha,Odisha,ICAR-National Rice Research Institute Cuttack,2023,Food (Grain),Yes,Tolerant to saline soils,Kharif,This variety is developed for coastal regions and areas with high soil salinity an abiotic stress that typically stunts the growth of most rice varieties.,Information not publicly available
BR-39,BR-39,Rajmash,Jammu and Kashmir,Jammu and Kashmir,Sher-e-Kashmir University of Agricultural Sciences & Technology Srinagar,2025,Food (Pulses),Yes,Tolerant to root rot and bean common mosaic virus,Kharif,This Rajmash variety is adapted to the temperate conditions of Kashmir and is resistant to common viral and fungal diseases of the region.,Information not publicly available
DRR Dhan 81,DRR Dhan 81,Rice,"Uttar Pradesh,Bihar,Maharashtra,Assam,Gujarat,Karnataka,Kerala",Uttar Pradesh,ICAR - Indian Institute of Rice Research Hyderabad,2025,Food (Grain) Animal Feed,Yes,Bacterial blight resistance,Kharif,This rice variety possesses genes for resistance to bacterial blight one of the most serious diseases of rice in Asia.,Xa21
Sabour Mahsuri Dhan,Sabour Mahsuri Dhan,Rice,"Uttar Pradesh,Bihar,Chhattisgarh,Jharkhand,Madhya Pradesh,Maharashtra,Gujarat",Uttar Pradesh,Bihar Agricultural University Sabour,2025,Food (High-value Grain),Yes,Tolerant to bacterial blight and blast,Kharif,This variety combines tolerance to two of the most significant rice diseases making it a reliable choice for farmers across a wide range of states.,Information not publicly available
Sabour Kunwar Dhan,Sabour Kunwar Dhan,Rice,"Bihar,Jharkhand,Odisha,West Bengal,Uttar Pradesh",Bihar,Bihar Agricultural University Sabour,2025,Food (Grain),Yes,Moderately resistant to leaf blast sheath blight,Kharif,This variety offers a good level of field tolerance to major fungal diseases like blast and sheath blight which are common in the humid eastern states.,Information not publicly available
PBW 891,PBW 891,Wheat,"Maharashtra,Karnataka,Tamil Nadu",Maharashtra,Punjab Agricultural University Ludhiana,2025,Food (Flour Bread),Yes,Resistant to yellow and brown rust,Rabi (Timely Sown),This wheat variety contains genes for resistance to both yellow (stripe) rust and brown (leaf) rust which are major threats to wheat production in the southern peninsula.,Information not publicly available
Pusa Kranti,Pusa Kranti,Wheat,"Madhya Pradesh,Gujarat,Chhattisgarh,Rajasthan,Uttar Pradesh",Madhya Pradesh,ICAR-IARI Indore,2025,Food (Biofortified - High Zinc),Yes,Resistant to leaf and stem rusts,Rabi (Late Sown),This biofortified wheat variety is not only nutritious but also has strong genetic resistance to both leaf and stem rusts making it suitable for the central zone.,Information not publicly available
Pusa Atulya,Pusa Atulya,Wheat,"Gujarat,Madhya Pradesh,Chhattisgarh,Rajasthan,Uttar Pradesh,Maharashtra,Karnataka,Tamil Nadu",Gujarat,ICAR-IARI Indore,2025,Food (Biofortified - High Protein & Iron),Yes,Resistant to multiple rusts heat tolerant,Rabi (Restricted Irrigation),This variety is a powerhouse combining biofortification with broad resistance to rusts and tolerance to heat stress making it highly resilient in water-limited environments.,Information not publicly available
Phule Shashwat,Phule Shashwat,Durum Wheat,"Maharashtra,Karnataka,Telangana,Andhra Pradesh,Tamil Nadu",Maharashtra,Mahatma Phule Krishi Vidyapeeth Niphad,2025,Food (Pasta Semolina),Yes,Resistant to stem and leaf rust,Rabi (Rainfed),This durum wheat variety is specifically bred for rainfed conditions and has strong resistance to the major rust diseases affecting the southern states.,Information not publicly available
Jagtiala Vari-33124,Jagtiala Vari-33124,Rice,Telangana,Telangana,Professor Jayashankar Telangana State Agricultural University Jagtial,2025,Food (Fine Grain),Yes,Resistant to blast and bacterial blight,Kharif,This fine-grain rice variety is tailored for Telangana and possesses resistance to the two most prevalent rice diseases in the state.,Information not publicly available
Rajendra Gehun-4,Rajendra Gehun-4,Wheat,Bihar,Bihar,Dr. Rajendra Prasad Central Agricultural University Pusa,2025,Food (Flour),Yes,Resistant to leaf rust disease,Rabi,This wheat variety is specifically adapted to the conditions of Bihar and has resistance to leaf rust a common fungal disease in the region.,Information not publicly available
Gujarat Maize Hybrid 5,Gujarat Maize Hybrid 5,Maize,Gujarat,Gujarat,Anand Agricultural University Godhra,2025,Food (Grain) Animal Feed,Yes,Tolerant to downy mildew disease,Kharif,This maize hybrid is bred for tolerance to downy mildew a major disease that can cause significant yield losses in the humid conditions of Gujarat during Kharif.,Information not publicly available
Sahyadri Durga,Sahyadri Durga,Groundnut,Karnataka,Karnataka,Keladi Shivappa Nayaka University of Agricultural & Horticultural Sciences Hiriyur,2025,Oilseed Food (Confectionery),Yes,Tolerant to leaf spot and rust diseases,Kharif/Rabi,This groundnut variety shows good field tolerance to late leaf spot and rust two major fungal diseases that affect groundnut production in Karnataka.,Information not publicly available
Kota Masoor 5,Kota Masoor 5,Lentil,Rajasthan,Rajasthan,Agriculture University Kota,2025,Food (Pulses),Yes,Tolerant to wilt and rust diseases,Rabi,This lentil variety is adapted to the agro-climatic conditions of Rajasthan and has tolerance to both wilt and rust which are key diseases for this crop.,Information not publicly available 
